Verb,Satz
mangeln,Es mangelt uns {an} Zeit.
sich melden,"Melde dich bitte {bei} mir, wenn du angekommen bist."
sich messen,Sie misst sich {mit} den Besten im Wettbewerb.
nachfragen,Er fragt immer wieder {nach} dem genauen Termin.
nützen,Das Werkzeug nützt dir nichts {bei} dieser Aufgabe.
sich orientieren,Er orientiert sich {an} den Anweisungen des Chefs.
passen,Die Schuhe passen gut {zu} dem Kleid.
profitieren,Sie profitieren {von} den niedrigeren Steuern.
protestieren,Die Studenten protestieren {gegen} die hohen Gebühren.
raten,Ich rate dir {zu} mehr Geduld.
reagieren,Sie reagiert schnell {auf} die Nachricht.
reden,Er redet gerne {über} das Wetter.
reizen,Der Duft reizt ihn {zu} einem Kauf.
(sich) retten,Er rettete sich {aus} dem brennenden Haus.
sagen,Sie sagt nichts {zu} den Anschuldigungen.
schmecken,Die Suppe schmeckt {nach} Knoblauch.
schreiben,Er schreibt einen Brief {an} seine Großeltern.
sensibilisieren,Wir müssen die Menschen {für} den Umweltschutz sensibilisieren.
sich sorgen,Sie sorgt sich {um} ihre Gesundheit.
sprechen,Wir sprechen {über} die bevorstehende Prüfung.
sterben,Er ist {an} einer schweren Krankheit gestorben.
stimmen,Die Angaben stimmen nicht {mit} der Realität überein.
(sich) streiten,Die Kinder streiten sich {um} das Spielzeug.
tauschen,Er tauscht seine Briefmarken {gegen} seltene Münzen.
teilhaben,Alle Mitarbeiter haben {an} der Entscheidung teilgehabt.
teilnehmen,Möchtest du {an} dem Seminar teilnehmen?
telefonieren,Ich telefoniere oft {mit} meiner Schwester.
träumen,Er träumt {von} einem eigenen Haus am Meer.
sich treffen,Wir treffen uns morgen {bei} ihm. 
sich treffen,Wir treffen uns morgen {mit} unseren Freunden.
(sich) trennen,Sie trennt sich {von} ihrem alten Handy.
übersetzen,Sie übersetzt den Text {aus} dem Deutschen {ins} Englische.
(sich) überzeugen,Er überzeugt sich {von} der Qualität des Produkts.
umgehen,Er kann gut {mit} schwierigen Kunden umgehen.
unterbrechen,Bitte unterbrich mich nicht {bei} meinem Vortrag.
sich unterhalten,Sie unterhalten sich {über} ihre Reisepläne.
sich unterscheiden,Er unterscheidet sich {von} seinem Bruder {durch} seine Größe.
unterstützen,Wir unterstützen ihn {bei} seiner Bewerbung.
sich verabreden,Sie verabredet sich {mit} ihrer Freundin {zu} einem Kaffee.
sich verabschieden,Er verabschiedet sich {von} seinen Kollegen.
verbinden,Die Brücke verbindet die Stadt {mit} dem Ufer.
verfügen,Er verfügt {über} ein großes Vermögen.
vergleichen,Man vergleicht das Auto {mit} einem Sportwagen.
sich verlieben,Er verliebt sich {in} seine neue Nachbarin.
sich verpflichten,Sie verpflichtet sich {zu} einem Jahr ehrenamtlicher Arbeit.
verschieben,Wir verschieben den Termin {auf} nächsten Dienstag.
sich versichern,Er versichert sich {gegen} alle möglichen Schäden.
sich versöhnen,Sie versöhnt sich {mit} ihrer besten Freundin.
verstoßen,Die Tat verstößt {gegen} das Gesetz.
vertrauen,Er vertraut {auf} die Ehrlichkeit seines Freundes.
verwechseln,Ich verwechsle ihn oft {mit} seinem Zwillingsbruder.
verweisen,Der Lehrer verweist den Schüler {auf} die Regeln.
verzichten,Ich verzichte {auf} das Dessert.
verzweifeln,Sie verzweifelt {an} der Komplexität der Aufgabe.
sich vorbereiten,Sie bereitet sich {auf} die Prüfung vor.
vorkommen,Dieses Problem kommt oft {in} der Praxis vor.
warnen,Ich warne dich {vor} dieser Gefahr.
warten,Wir warten {auf} den Bus.
werben,Die Firma wirbt {für} ihr neues Produkt.
wetten,Er wettet {um} eine Flasche Wein.
wirken,Das Medikament wirkt schnell {gegen} die Schmerzen.
sich wundern,Ich wundere mich {über} seine plötzliche Abreise.
zweifeln,Er zweifelt {an} der Richtigkeit der Informationen.
